food_item_uid,food_item_name,restaurant_food_item_description,food_item_image_url,food_item_type,food_item_category,food_item_parent_category,old_price_s,old_price_m,old_price_l,actual_price_s,actual_price_m,actual_price_l,restaurant_food_item_speciality,restaurant_food_item_availability,isAddOns
67cd71b18d19793f7e64b044,Bang Bang Mushroom,Mushroom bits tossed in tangy spicy bang bang sauce,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706549/Gourmet/jrts0f6sgswqspuzqs7e.jpg,Vegetarian,Starters,Food,,,136,,,136,,True,False
67cd71b68d19793f7e64b04b,Bang Bang Paneer,Crunchy Paneer bits tossed in a tangy spicy bang-bang sauce,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706536/Gourmet/v1oxxn3kijefylp6sghm.png,Vegetarian,Starters,Food,,,136,,,136,,True,False
67cd71bb8d19793f7e64b052,Blueberry MockTail,Sweet and tangy delight of our Blueberry Elixir Euphoria,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706537/Gourmet/n59b0wpdlufelpxru4yi.png,Vegetarian,Sparkling Water Base,Drinks,,88,128,,88,128,,True,True
67cd71c08d19793f7e64b05a,Blueberry Milk Base,Deliciously creamy blend that captures the essence of ripe blueberries,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706544/Gourmet/s0cng43nngreka33tann.jpg,Vegetarian,Milk Base,Drinks,,108,148,,108,148,,True,True
67cd71c58d19793f7e64b062,Caramel Latte,Rich espresso meets luscious caramel for a delightful treat in every cup,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706551/Gourmet/xydeievmhc13pjbvbemo.jpg,Vegetarian,Hot Beverages,Drinks,,,156,,,156,,True,True
67cd71ca8d19793f7e64b069,Caramel Macchiato,Espresso meets creamy caramel for a delightful boba drink,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706548/Gourmet/gsfnirenigcr5guphhdq.jpg,Vegetarian,Milk Base,Drinks,,118,168,,118,168,,True,True
67cd71cf8d19793f7e64b071,Cheese Cigar Roll,Cheese filling wrapped in crispy golden-brown spring roll paper,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706538/Gourmet/znaydcfcanzmjxxhznqk.png,Vegetarian,Starters,Food,,,128,,,128,,True,False
67cd71d98d19793f7e64b07f,Choco Fudge Milk Base,Delight that’s a perfect blend of creamy fudge and luscious chocolate,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706546/Gourmet/lurzuketnads0dzip9x5.jpg,Vegetarian,Milk Base,Drinks,,158,228,,158,228,,True,True
67cd71de8d19793f7e64b087,Choco Hazelnut Milk Base,Boba drink that marries velvety chocolate with the nutty charm of hazelnut,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706545/Gourmet/t6fbzgwslo4cpemz2vru.jpg,Vegetarian,Milk Base,Drinks,,158,228,,148,218,Best Seller,True,True
67cd71e38d19793f7e64b08f,Coconut-Mango Pudding,Hong-Kong style coconut pudding served with mango sauce,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706538/Gourmet/lpb1b7vbn5sswszqwjnd.png,Vegetarian,Desserts,Food,,,158,,,58,Best Seller,False,False
67cd71e88d19793f7e64b096,Cookie And Cream Boba,Boba drink that combines chocolaty cookies with creamy goodness,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706546/Gourmet/lurzuketnads0dzip9x5.jpg,Vegetarian,Milk Base,Drinks,,158,228,,158,228,,True,True
67cd71ed8d19793f7e64b09e,Corn Fried Rice,Savory rice dish made with sweet corn herbs and spices,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706537/Gourmet/gxekesam3sn5yryqwwta.png,Vegetarian,Rice And Noodles,Food,,,158,,,118,Best Seller,True,False
67cd71f28d19793f7e64b0a5,Cranberry Sparkle,"Fusion of orange, mango, and cranberry, offering a sparkle on your palate",https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706540/Gourmet/sflgek6rbc3ql3ge1rrq.jpg,Vegetarian,Sparkling Water Base,Drinks,,138,198,,138,198,,True,True
67cd71f78d19793f7e64b0ad,Creamy Boba Milk Base,Silky vanilla boba milkshake that’s a creamy delight from the first sip,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706539/Gourmet/l1swdubqsmf138gucscw.jpg,Vegetarian,Milk Base,Drinks,,108,148,,108,148,,True,True
67cd71fc8d19793f7e64b0b5,Creamy Coconut Milk Base,Smooth richness of milk with the exotic sweetness of coconut,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706552/Gourmet/bxmxl4twm9bthcqajvzb.jpg,Vegetarian,Milk Base,Drinks,,138,198,,138,198,,True,True
67cd72018d19793f7e64b0bd,Creamy Ramen,Noodles with creamy and cheese sauce served with corn & chili oil,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706537/Gourmet/l29uol5vaw9u4r3aigaj.png,Vegetarian,Ramen,Food,,,178,,,178,Best Seller,True,False
67cd72118d19793f7e64b0d2,Freak Shake,Boba shake that blends extravagant toppings with indulgent flavors,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706546/Gourmet/no2bdi8vvd8zxyu9bdwh.jpg,Vegetarian,Milk Base,Drinks,,168,248,,168,248,,True,True
67cd72168d19793f7e64b0da,French Vanilla Latte,Delightful blend of rich coffee and creamy French vanilla,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706548/Gourmet/ne7f1qcvhhub0ip1ysps.jpg,Vegetarian,Milk Base,Drinks,,118,168,,118,168,,True,True
67cd721b8d19793f7e64b0e2,Grape Fizzito,Regal fusion of grape and green apple,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706551/Gourmet/bj2f2m8ct004yldhplam.jpg,Vegetarian,Sparkling Water Base,Drinks,,108,148,,108,148,,True,True
67cd72208d19793f7e64b0ea,Green Apple MockTail,"Crisp and refreshing, our Green Apple Elixir Euphoria is pure delight",https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706541/Gourmet/kxtjsqnw7vqdm7dnp59p.png,Vegetarian,Sparkling Water Base,Drinks,,88,128,,88,128,,True,True
67cd72258d19793f7e64b0f2,Gulabi Lychee MockTail,"Blend of rose and lychee, where floral elegance mingles with exotic fruitiness",https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706544/Gourmet/cklajnpihwmucah2nvw5.jpg,Vegetarian,Sparkling Water Base,Drinks,,108,148,,108,148,,True,True
67cd722a8d19793f7e64b0fa,Hazelnut Macchiato,Boba drink that blends creamy nutty hazelnut richness with bold macchiato notes,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706548/Gourmet/p3trfgtlbxqim2ibpdsg.jpg,Vegetarian,Milk Base,Drinks,,148,218,,148,218,,True,True
67cd722f8d19793f7e64b102,Hot Choco Fudge,Velvety blend of hot chocolate and irresistible fudge for a delightful treat,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706553/Gourmet/ykkpqrwvprx9vw6lpwvw.jpg,Vegetarian,Hot Beverages,Drinks,,,136,,,136,,True,True
67cd72348d19793f7e64b109,Hot Mocha,Blend of espresso and chocolate for a cozy treat in every sip,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706548/Gourmet/dyvku5zumufky490r8bs.jpg,Vegetarian,Hot Beverages,Drinks,,,136,,,136,,True,True
67cd72398d19793f7e64b110,Hunan Mushroom,Mushroom tossed with sweet and spicy Hunan sauce,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706540/Gourmet/u3isp7lemgojvtzknnhc.png,Vegetarian,Kojjin Specials,Food,,,148,,,148,,True,False
67cd723e8d19793f7e64b117,Hunan Paneer,Paneer tossed with spicy Hunan sauce,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706540/Gourmet/z41sfdztgrkj6msjln55.png,Vegetarian,Kojjin Specials,Food,,,148,,,148,,True,False
67cd72438d19793f7e64b11e,Ice Mocha,A delightful boba drink that’s a perfect harmony of flavors,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706548/Gourmet/tdwqwncrmbyw80olecjc.jpg,Vegetarian,Milk Base,Drinks,,138,198,,138,198,,True,True
67cd72488d19793f7e64b126,Just Coffee Milk Base,Following Sahid Kapoor’s suggestion‘Just Coffee’ with some boba of course,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706548/Gourmet/ulv251hbiq7gvgacejps.jpg,Vegetarian,Milk Base,Drinks,,98,138,,98,138,,True,True
67cd724d8d19793f7e64b12e,Kiwi MockTail,"Zesty allure of kiwi, coupled with boba and nata de coco for a fruity explosion",https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706542/Gourmet/jukzj2qv20vo0m2iawxn.png,Vegetarian,Sparkling Water Base,Drinks,,88,128,,88,128,,True,True
67cd72528d19793f7e64b136,Korean BB Milk Base,A sweet boba blend of ripe bananas and rich butterscotch,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706542/Gourmet/xw2ietdpm1jlccbfmj75.jpg,Vegetarian,Milk Base,Drinks,,138,198,,138,198,,True,True
67cd72578d19793f7e64b13e,Korean Cheesy Nuggets,With house-made sweet chili sauce,https://res.cloudinary.com/dcvfniqsj/image/upload/v1739706542/Gourmet/nkpbjsnhaz7mkhl0kwzr.png,Vegetarian,Starters,Food,,,98,,,98,,True,False
